ID	tweet	Affect Dimension	Intensity Score
2017-En-10264	@xandraaa5 @amayaallyn6 shut up hashtags are cool #offended	anger	0.562
2017-En-10072	it makes me so fucking irate [Name]. nobody is calling ppl who like hajime abusive stop with the strawmen lmao	anger	0.750
2017-En-11102	@thatsshawtylo passed away early this morning in a fast and furious styled car crash as they was leaving an atl strip club. that's rough stuff	anger	0.354
2017-En-10779	i need a 🍱 sushi date 🍙 @anzalduag 🍝 an olive guarded date 🧀 @lexiereid369 and a 👊 🏼 rockys date 🍕	anger	0.271
2017-En-11588	and republicans,you,namely [Name],[Name],[Name] and others are not safe from my wrath,hence that [Name] [Name] ad i saw about you	anger	0.354
2017-En-11282	@leepg \ n \ nlike a rabid dog i pulled out the backs of my cupboards looking for a bakewell.. found a french fancie & a mini batternburg #winner!	anger	0.333
2017-En-11507	@misterak47 it's very telling that racist bigots always resort to the insult ' fag ' like that's worse than being a racist bigot.	anger	0.556
2017-En-10849	follow up. follow through. be #relentless. #success	anger	0.125
2017-En-10640	@justinrow10 dude the new madden 17? haha	anger	0.231
2017-En-10946	@moocowward @mrsajhargreaves @melly77 @garybarlow if they can't come to my [Name] 60th after 25k tweets then why should i 🙈 #bitter #soreloser	anger	0.583
2017-En-10940	lol little things like that make me so angry x	anger	0.604
2017-En-11456	one more day tiff.. one more day!	anger	0.208
2017-En-10869	me being on my dean really saving a lot of ppl,bc i don't snap nomore & it take so much out of me..	anger	0.348
2017-En-10514	who knew softballs could [Name] so bad? [Name] [Name] has been under a lot of heat for their & ldquo ; softball & rdquo ; [Name] [Name] interview	anger	0.414
2017-En-10448	women don't like girls because we resent them for looking so great / we wish we still looked like that #washed	anger	0.479
2017-En-21354	@brendancoots where's your outrage that your party nominated a lying,corrupt person? and received donations from nations who support terror	anger	0.766
2017-En-11609	i swear i got anger issues but my heart big af...	anger	0.604
2017-En-10537	75 ' [Name] reaches a deep cross to the back post and plays it back across but the alloa defence clear. celtic relentless here.	anger	0.438
2017-En-11088	this is a joke @somersetccc #fuming	anger	0.688
2017-En-10127	i just love it when people make plans for me without actually including me in this process #rage	anger	0.688
2017-En-11061	be quick to #listen,slow to #speak,and slow to.	anger	0.121
2017-En-10563	@sargon_of_akkad it'll be like burning rap albums ; they'll have to buy it first,but gosh darn it,they have to get rid of it.	anger	0.417
2017-En-10184	@daniel_sankey @hayleyp79 haha... actually,after the doggies i'm barracking for anyone but gws! #bitter	anger	0.472
2017-En-10378	@ostinong yuuuhh 🙄 😭 plus clin ep and prevmed ugghhh hahaha #bitter	anger	0.521
2017-En-10689	my wasp [Name] is so itchy	anger	0.356
2017-En-10631	grateful for all the hungry people in my life! hungry to learn,change,grow,help,etc - not sure anybody has it better!	anger	0.396
2017-En-11107	@jonfavs [Name] [Name] is an insult to the intelligence of the black community. what are these people thinking?	anger	0.542
2017-En-11530	@arsenal giroud's beard is making me angry.	anger	0.625
2017-En-40971	@mandyjohnson i'll be honest.. i hope that annoying [Name] bint with the ' look at me ' pout goes out this week! selasi #ftw	anger	0.646
2017-En-11331	@radiox @chrismoyles wow. not heard this in forever. random but. great #xph	anger	0.250
2017-En-11147	me and these [Name] that i pick up off the pitches don't get on at all like 😢 😢 #sting	anger	0.542
2017-En-11158	icq is just making me mad!!! 😤 #icq #angry	anger	0.750
2017-En-11248	if angry,bash out your frustration on the pastry #gbbo	anger	0.530
2017-En-10026	. @divamagazine than straight people. even the arse straight guys who think that means a threesome is fine. #angry #fuming	anger	0.792
2017-En-11075	oh daaaaaaamn @sophiabush! #getitgirl #girlpower #anger #rawr #chicagopd	anger	0.375
2017-En-40458	@talkrobyn oh dear i have to watch this the woman with the pout did well	anger	0.442
2017-En-10481	they totally knew about it '. [Name] finally gets revenge for their son-in-law's prosecution / imprisonment and throws [Name] under the bus.	anger	0.458
